Lines,Station_Name,Station_Name_CH,Station_Name_TM,Opening,Name,Abbr,Location,Bus_Interchange,lat,lon,datetime,Opening_YM
 NE17  PTC ,Punggol,榜鹅,பொங்கோல்,20 June 2003,Punggol,PGL,Punggol,Bus transport Punggol Temporary Bus Interchange,1.40517,103.9023559,2003-06-01T00:00:00Z,2003-06
 CC2 ,Bras Basah,百胜,பிராஸ் பாசா,17 April 2010,Museum,BBS,Museum Planning Area,,1.2969461000000002,103.85073659999999,2010-04-01T00:00:00Z,2010-04
 CC3 ,Esplanade,滨海中心,எஸ்பிளனேட்,17 April 2010,Convention Centre,EPN,Downtown Core,,1.2939413,103.8553744,2010-04-01T00:00:00Z,2010-04
 CC4  DT15 ,Promenade,宝门廊,புரொமனாட்,17 April 2010,Millenia,PMN,Downtown Core,Bus transport Marina Centre Bus Terminal,1.2939988000000002,103.86017729999999,2010-04-01T00:00:00Z,2010-04
 CC5 ,Nicoll Highway,尼诰大道,நிக்கல் நெடுஞ்சாலை,17 April 2010,Nicoll Highway,NCH,Kallang,,1.3002063,103.86347070000001,2010-04-01T00:00:00Z,2010-04
 CC6 ,Stadium,体育场,ஸ்டேடியம்,17 April 2010,Boulevard,SDM,Kallang,,1.3027829,103.8754063,2010-04-01T00:00:00Z,2010-04
 CC7 ,Mountbatten,蒙巴登,மவுண்ட்பேட்டன்,17 April 2010,Old Airport Road,MBT,"Geylang, Kallang",,1.3060843999999998,103.8831531,2010-04-01T00:00:00Z,2010-04
 CC8 ,Dakota,达科达,டகோட்டா,17 April 2010,Tanjong Katong,DKT,Geylang,,1.30841,103.888814,2010-04-01T00:00:00Z,2010-04
 CC10  DT26 ,MacPherson,麦波申,மெக்பர்சன்,17 April 2010,MacPherson,MPS,Geylang,,1.3267049,103.88988979999999,2010-04-01T00:00:00Z,2010-04
 CC11 ,Tai Seng,大成,தை செங்,17 April 2010,Upper Paya Lebar,TSG,"Hougang, Toa Payoh",,1.3358756,103.88771640000002,2010-04-01T00:00:00Z,2010-04
 CC12 ,Bartley,巴特礼,பார்ட்லி,28 May 2009,Bartley,BLY,"Serangoon, Toa Payoh",,1.3428695,103.87963859999999,2009-05-01T00:00:00Z,2009-05
