Lines,Station_Name,Opening,End date,Name,Abbr,Location,Bus_Interchange,lat,lon,datetime
 EW15 ,Tanjong Pagar,12/12/1987,4/20/2019,Maxwell,TPG,Downtown Core,,1.2763419,103.8467924,1987-12-12T00:00:00Z
 EW16  NE3  TE17 ,Outram Park,12/12/1987,4/20/2019,Outram Park,OTP,"Bukit Merah, Outram",Bus transport Kampong Bahru Bus Terminal,1.2802064,103.8402666,1987-12-12T00:00:00Z
 EW17 ,Tiong Bahru,3/12/1988,4/20/2019,Tiong Bahru,TIB,Bukit Merah,,1.2865018,103.8269778,1988-03-12T00:00:00Z
 EW18 ,Redhill,3/12/1988,4/20/2019,Alexandra,RDH,Bukit Merah,,1.2896415,103.8167982,1988-03-12T00:00:00Z
 EW19 ,Queenstown,3/12/1988,4/20/2019,"Princess, Commonwealth",QUE,Queenstown,,1.2948352,103.8059016,1988-03-12T00:00:00Z
 EW20 ,Commonwealth,3/12/1988,4/20/2019,Queenstown,COM,Queenstown,,1.3023957,103.7983157,1988-03-12T00:00:00Z
 EW21  CC22 ,Buona Vista,3/12/1988,4/20/2019,North Buona Vista,BNV,Queenstown,Bus transport Buona Vista Bus Terminal,1.3072964,103.7901128,1988-03-12T00:00:00Z
 EW22 ,Dover,10/18/2001,4/20/2019,Polytechnic,DVR,Queenstown,,1.3113926,103.7786068,2001-10-18T00:00:00Z
 EW23 ,Clementi,3/12/1988,4/20/2019,Clementi,CLE,Clementi,Bus transport Clementi Bus Interchange,1.3150696,103.7652462,1988-03-12T00:00:00Z
 EW25 ,Chinese Garden,11/5/1988,4/20/2019,Jurong Lake,CNG,Jurong East,,1.3424249,103.7325924,1988-11-05T00:00:00Z
 EW26 ,Lakeside,11/5/1988,4/20/2019,Corporation,LKS,Jurong West,,1.344243,103.7207754,1988-11-05T00:00:00Z
 EW27  JS8 ,Boon Lay,7/6/1990,4/20/2019,Jurong West,BNL,Jurong West,Bus transport Boon Lay Bus Interchange,1.3385559,103.7058277,1990-07-06T00:00:00Z
 EW28 ,Pioneer,2/28/2009,4/20/2019,Pioneer,PNR,Jurong West,,1.3376018,103.6974089,2009-02-28T00:00:00Z
 EW29 ,Joo Koon,2/28/2009,4/20/2019,Joo Koon,JKN,Pioneer Planning Area,Bus transport Joo Koon Bus Interchange,1.3277513,103.6783178,2009-02-28T00:00:00Z
 EW30 ,Gul Circle,6/18/2017,4/20/2019,Tuas,GCL,"Pioneer Planning Area, Tuas",,1.3197555,103.6608303,2017-06-18T00:00:00Z
 EW31 ,Tuas Crescent,6/18/2017,4/20/2019,Tuas Crescent,TCR,Tuas,,1.3210266,103.6490755,2017-06-18T00:00:00Z
 EW32 ,Tuas West Road,6/18/2017,4/20/2019,Tuas West,TWR,Tuas,,1.3300485,103.6396175,2017-06-18T00:00:00Z
 EW33 ,Tuas Link,6/18/2017,4/20/2019,Tuas Link,TLK,Tuas,Bus transport Tuas Bus Terminal,1.3403171,103.6368663,2017-06-18T00:00:00Z
 CG1  DT35 ,Expo,1/10/2001,4/20/2019,Somapah,XPO,Tampines,,1.3344041,103.9614807,2001-01-10T00:00:00Z
 CG2 ,Changi Airport,2/8/2002,4/20/2019,Changi Airport,CGA,Changi,"Silhouette An-124.svg Singapore Changi Airport, Bus transport Changi Airport Bus Terminal",1.3576001,103.9884873,2002-02-08T00:00:00Z
 NE1  CC29 ,HarbourFront,6/20/2003,4/20/2019,World Trade Centre,HBF,Bukit Merah,"Bus transport HarbourFront Bus Interchange, Sentosa Express",1.2656038,103.8208568,2003-06-20T00:00:00Z
 NE4  DT19 ,Chinatown,6/20/2003,4/20/2019,People's Park,CNT,Outram,,1.2844913,103.8435939,2003-06-20T00:00:00Z
 NE5 ,Clarke Quay,6/20/2003,4/20/2019,Clarke Quay,CQY,Singapore River Planning Area,,1.2881554,103.8467181,2003-06-20T00:00:00Z
 NE7  DT12 ,Little India,6/20/2003,4/20/2019,Kandang Kerbau,LTI,"Kallang, Rochor",,1.3062896,103.8493919,2003-06-20T00:00:00Z
 NE8 ,Farrer Park,6/20/2003,4/20/2019,Farrer Park,FRP,"Kallang, Rochor",,1.3126142,103.8548616,2003-06-20T00:00:00Z
 NE9 ,Boon Keng,6/20/2003,4/20/2019,Boon Keng,BNK,Kallang,,1.3200375,103.861623,2003-06-20T00:00:00Z
 NE10 ,Potong Pasir,6/20/2003,4/20/2019,Sennett,PTP,Toa Payoh,,1.331273,103.8687898,2003-06-20T00:00:00Z
 NE11 ,Woodleigh,6/20/2011,4/20/2019,Woodleigh,WLH,Toa Payoh,,1.3391274,103.8707373,2011-06-20T00:00:00Z
 NE12  CC13 ,Serangoon,6/20/2003,4/20/2019,Serangoon,SER,Serangoon,Bus transport Serangoon Bus Interchange,1.3497872,103.8736348,2003-06-20T00:00:00Z
 NE13 ,Kovan,6/20/2003,4/20/2019,Kovan,KVN,Hougang,,1.360175,103.8851627,2003-06-20T00:00:00Z
